Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce
1,0,0,,609.411888761155,671.9072513275322,None,0.0
2,-35,-35,,509.96913333897675,298.93826667795724,None,0.0
3,90,55,,251.85999746505632,211.93622321054306,None,0.0
4,0,55,,426.95558929604033,610.2963244133657,None,0.0
5,88,143,,261.7788022321955,287.93826667795713,None,0.0
6,0,143,,361.97588114574177,531.9807049165936,None,0.0
7,0,143,,345.9894523743429,479.7516082701927,None,0.0
8,0,143,,262.90405241822145,433.78283893691304,None,0.0
9,0,143,,105.01856211377286,119.92041832514977,None,0.0
10,-50,93,,-13.013803589776904,220.4407136324502,None,0.0
11,0,93,,410.8674499073258,439.9758811457419,Gradual,0.2
12,0,93,,319.69501054754403,340.99001211845456,Gradual,0.2
13,0,93,,505.37227780889697,394.9180513395041,Gradual,0.2
14,-40,53,,597.070004937149,334.99001211845444,Gradual,0.4
15,0,53,,450.0252863654825,406.9180513395042,Gradual,0.4
16,0,53,,555.9554894591423,685.5029672110003,Gradual,0.4
17,0,53,,446.32454364528616,452.9894523743435,Gradual,0.6000000000000001
18,0,53,,491.2072149351291,420.97588114574205,Gradual,0.6000000000000001
19,-34,19,,497.1536038452648,306.95178673568483,Gradual,0.6000000000000001
20,0,19,,522.6546844118759,435.9522445649004,Gradual,0.8
21,81,100,,391.6255111186368,264.9382666779569,Gradual,0.8
22,-34,66,,502.232329579438,324.90405241822185,Gradual,0.8
23,0,66,,574.75239960018,404.91805133950425,Gradual,1.0
24,0,66,,551.8100058348114,365.9900121184547,Gradual,1.0
25,0,66,,839.8647833811766,723.9245198851767,Gradual,1.0
26,-50,16,,251.41969769228632,33.98619641022318,Gradual,1.2
27,0,16,,630.9448609839277,474.9936478259505,Gradual,1.2
28,0,16,,601.2811938747201,468.9894523743434,Gradual,1.2
29,-25,-9,,339.955009649881,330.9900121184545,Gradual,1.4
30,0,-9,,524.8633585712934,365.9212514854397,Gradual,1.4
31,0,-9,,413.7813737140687,375.9212514854397,Gradual,1.4
32,-27,-36,,373.4340675179482,323.9725295972479,Gradual,1.5999999999999999
33,-40,-76,,595.0039252980104,335.9144816903077,Gradual,1.5999999999999999
34,82,6,,370.7733547855262,266.92375236019,Gradual,1.5999999999999999
35,71,77,,556.0969914131442,272.9010625817657,Gradual,1.7999999999999998
36,-50,27,,462.9207144386753,47.924308422898335,Gradual,1.7999999999999998
37,0,27,,629.7192692523156,393.91805133950413,Gradual,1.7999999999999998
38,0,27,,550.2524272569967,350.9212514854397,Gradual,1.9999999999999998
39,0,27,,601.7558677552879,506.98693494260027,Gradual,1.9999999999999998
40,-26,1,,357.64155052918716,330.951786735685,Gradual,1.9999999999999998
41,-17,-16,,216.97105285173967,337.63305106015525,None,0.0
42,0,-16,,225.92792021856715,346.057050023957,None,0.0
43,0,-16,,263.9900121184548,423.5100103231286,None,0.0
44,87,71,,240.99001211845493,319.99001211845433,None,0.0
45,-50,21,,-231.07902579895853,-32.071123219063374,None,0.0
46,0,21,,206.92792021856732,409.18617982934535,None,0.0
47,0,21,,60.95852322005844,227.16184136245383,None,0.0
48,0,21,,242.92792021856712,500.31530963473335,None,0.0
49,0,21,,318.91805133950436,415.91805133950396,None,0.0
50,85,106,,310.0335138153923,269.92375236019,None,0.0
51,0,106,trajectory,312.9212514854395,453.7540454283274,None,0.0
52,0,106,trajectory,401.90402215603706,547.9136199404339,None,0.0
53,94,200,trajectory,104.93622321054265,275.19471401572486,None,0.0
54,95,295,trajectory,128.98665582244573,247.68402988843255,None,0.0
55,0,295,trajectory,294.9242088996908,436.13027218771543,None,0.0
56,0,295,trajectory,149.92375236018907,425.5609541791912,None,0.0
57,0,295,trajectory,207.92792021856735,405.3603538682675,None,0.0
58,0,295,trajectory,167.9237523601893,349.5060734515902,None,0.0
59,88,383,trajectory,239.32165387870975,296.96452655999883,None,0.0
60,0,383,trajectory,251.9900121184551,426.88001077195963,None,0.0
61,0,383,trajectory,298.923196328637,412.923196328637,Gradual,0.2
62,-50,333,trajectory,-12.02445249301439,210.3340017146969,Gradual,0.2
63,0,333,trajectory,125.98665582244563,396.716961317346,Gradual,0.2
64,81,414,trajectory,369.95678667456957,299.93826667795724,Gradual,0.4
65,0,414,trajectory,153.96452655999923,404.7144721754838,Gradual,0.4
66,0,414,trajectory,232.91448169030718,424.9611661431623,Gradual,0.4
67,83,497,trajectory,357.1224244525357,269.9382666779569,Gradual,0.6000000000000001
68,0,497,trajectory,369.0915470612119,412.91805133950413,Gradual,0.6000000000000001
69,0,497,trajectory,356.9894523743432,457.98945237434305,Gradual,0.6000000000000001
70,83,580,trajectory,327.28188889829784,313.9382666779572,Gradual,0.8
71,0,580,trajectory,263.9144816903074,435.77050303373306,Gradual,0.8
72,0,580,trajectory,236.97252959724815,386.24725471744904,Gradual,0.8
73,0,580,trajectory,309.0659359974983,379.97252959724796,Gradual,1.0
74,0,580,trajectory,249.9900121184548,379.6200116696238,Gradual,1.0
75,0,580,trajectory,425.76963606371885,484.9235355457878,Gradual,1.0
76,0,580,trajectory,66.95234436925884,172.67589035900187,Gradual,1.2
77,0,580,trajectory,401.0112137983622,398.9086065400787,Gradual,1.2
78,0,580,trajectory,435.8087019998105,362.9212514854397,Gradual,1.2
79,86,666,trajectory,280.279420895407,292.90283675724964,Gradual,1.4
80,90,756,trajectory,243.32221318537208,236.98665582244604,Gradual,1.4
81,0,756,trajectory,266.62001166962364,343.9900121184546,Gradual,1.4
82,0,756,trajectory,179.31553454065423,158.92499283884567,Gradual,1.5999999999999999
83,80,836,trajectory,400.45831502805953,275.92375236019006,Gradual,1.5999999999999999
84,88,924,trajectory,254.77880223219552,280.93826667795696,Gradual,1.5999999999999999
85,84,1008,trajectory,349.0175105975617,229.98045951653273,Gradual,1.7999999999999998
86,88,1096,trajectory,248.95704747698738,278.97105285173956,Gradual,1.7999999999999998
87,0,1096,trajectory,471.1353231245303,448.98945237434305,Gradual,1.7999999999999998
88,0,1096,trajectory,557.6578268481363,391.92319632863695,Gradual,1.9999999999999998
89,0,1096,trajectory,584.92424718458,350.90405241822185,Gradual,1.9999999999999998
90,81,1177,trajectory,388.2664966134113,230.9346897529687,Gradual,1.9999999999999998
91,-50,1127,trajectory,30.920418325149566,115.7915817235252,None,0.0
