Trial,Score,TotalScore,FeedbackType,EndPosX,EndPosY,Perturbation,PerturbationForce,NoiseMean,NoiseStd,NoiseInstance,Friction
1,0,0,endpos,863.5961631686437,765.1556138980726,None,0,0.0,0,0.0,0.981
2,0,0,endpos,598.7423108060334,559.018573263132,None,0,0.0,0,0.0,0.981
3,0,0,endpos,624.9744864639672,415.5103746140159,None,0,0.0,0,0.0,0.981
4,0,0,endpos,683.5566710417997,585.6823462900734,None,0,0.0,0,0.0,0.981
5,0,0,endpos,674.4089345004573,575.1187392027605,None,0,0.0,0,0.0,0.981
6,0,0,endpos,873.4121820415339,746.6640500943943,None,0,0.0,0,0.0,0.981
7,0,0,endpos,781.6654147410309,702.9981221115454,None,0,0.0,0,0.0,0.981
8,0,0,endpos,761.7850574270907,657.0985718592274,None,0,0.0,0,0.0,0.981
9,0,0,endpos,697.6903498274328,502.1537869403121,None,0,0.0,0,0.0,0.981
10,0,0,endpos,666.9141399532159,456.8540379204674,None,0,0.0,0,0.0,0.981
11,0,0,endpos,763.382601803388,491.35624089942786,Sudden,2,0.0,0,0.0,0.981
12,0,0,endpos,782.0152208812204,625.1403026340865,Sudden,2,0.0,0,0.0,0.981
13,0,0,endpos,719.2759633129302,482.55192662586006,Sudden,2,0.0,0,0.0,0.981
14,0,0,endpos,689.462523747285,437.51037461401546,Sudden,2,0.0,0,0.0,0.981
15,0,0,endpos,676.2728636537628,364.85405142122323,Sudden,2,0.0,0,0.0,0.981
16,-34,-34,endpos,557.9047036486033,306.32149508878166,Sudden,2,0.0,0,0.0,0.981
17,0,-34,endpos,795.5404724841505,559.3646720384272,Sudden,2,0.0,0,0.0,0.981
18,74,40,endpos,570.2881029291632,283.5595037072705,Sudden,2,0.0,0,0.0,0.981
19,0,40,endpos,756.8551611865914,610.0471481630383,Sudden,2,0.0,0,0.0,0.981
20,0,40,endpos,421.69947413893544,104.6754321025967,Sudden,2,0.0,0,0.0,0.981
21,0,40,endpos,665.1432264566001,496.45144200158836,Sudden,2,0.0,0,0.0,0.981
22,0,40,endpos,808.5373305806792,632.611991742037,Sudden,2,0.0,0,0.0,0.981
23,0,40,endpos,837.001556537816,604.4172583687633,Sudden,2,0.0,0,0.0,0.981
24,0,40,endpos,756.9255029824724,555.4011496742204,Sudden,2,0.0,0,0.0,0.981
25,0,40,endpos,762.1495769814595,579.6823462900734,Sudden,2,0.0,0,0.0,0.981
26,0,40,endpos,649.103261688763,416.11849917754574,Sudden,2,0.0,0,0.0,0.981
27,77,117,endpos,530.730487967322,217.02689638016312,Sudden,2,0.0,0,0.0,0.981
28,0,117,endpos,473.76503045257755,158.93301484513236,Sudden,2,0.0,0,0.0,0.981
29,0,117,endpos,790.2923014942537,523.6482591914419,Sudden,2,0.0,0,0.0,0.981
30,0,117,endpos,750.781020149149,512.3562408994275,Sudden,2,0.0,0,0.0,0.981
31,0,117,endpos,800.283727070126,526.5504856849213,Sudden,2,0.0,0,0.0,0.981
32,0,117,endpos,844.9190553822147,565.4011496742207,Sudden,2,0.0,0,0.0,0.981
33,0,117,endpos,819.4033665522627,556.018573263132,Sudden,2,0.0,0,0.0,0.981
34,-50,67,endpos,624.3553719344488,38.675432102596346,Sudden,2,0.0,0,0.0,0.981
35,0,67,endpos,760.8990399058738,501.5519266258607,Sudden,2,0.0,0,0.0,0.981
36,0,67,endpos,795.0128952005136,556.4011496742204,Sudden,2,0.0,0,0.0,0.981
37,0,67,endpos,794.2923014942537,521.4514420015886,Sudden,2,0.0,0,0.0,0.981
38,0,67,endpos,936.4986301521864,734.8087670260086,Sudden,2,0.0,0,0.0,0.981
39,0,67,endpos,835.8446838170281,596.0471481630383,Sudden,2,0.0,0,0.0,0.981
40,0,67,endpos,913.5320227436839,637.356371480166,Sudden,2,0.0,0,0.0,0.981
41,0,67,endpos,687.5566710417997,604.6823462900734,None,0,0.0,0,0.0,0.981
42,0,67,endpos,717.695955698796,539.077460082486,None,0,0.0,0,0.0,0.981
43,0,67,endpos,548.8544265776061,399.33094093310393,None,0,0.0,0,0.0,0.981
44,0,67,endpos,585.3877857986541,478.4514420015885,None,0,0.0,0,0.0,0.981
45,0,67,endpos,677.5073837005989,512.7892635342666,None,0,0.0,0,0.0,0.981
46,-50,17,endpos,4.949768100192613,-288.0134630260633,None,0,0.0,0,0.0,0.981
47,0,17,endpos,795.7669033475051,580.4172583687633,None,0,0.0,0,0.0,0.981
48,0,17,endpos,312.18854703234985,59.52749006141773,None,0,0.0,0,0.0,0.981
49,0,17,endpos,713.3828793597619,677.4322956985363,None,0,0.0,0,0.0,0.981
50,0,17,endpos,705.3614647980464,583.6928006074925,None,0,0.0,0,0.0,0.981
51,0,17,endpos,691.9569440364486,655.4424828861331,None,0,0.0,1,-1.22566428964431,0.984
52,0,17,endpos,595.3274931521585,397.9308374038637,None,0,0.0,1,0.33215200588569743,0.984
53,0,17,endpos,836.0667481615181,628.418811586945,None,0,0.0,1,2.767667473115514,0.984
54,0,17,endpos,655.1774833871694,615.6868740610367,None,0,0.0,1,-0.48318047723927615,0.984
55,0,17,endpos,770.6422978158423,643.2203890679912,None,0,0.0,1,0.9297904175793202,0.984
56,0,17,endpos,742.4085941702052,618.4188115869453,None,0,0.0,1,0.8503079677731603,0.984
57,0,17,endpos,796.5747430500091,632.7228902814601,None,0,0.0,1,-0.45219521097248094,0.984
58,0,17,endpos,645.7524552228451,492.2101875904745,None,0,0.0,1,0.6982589150447738,0.984
